fromLocationId,toLocationId,distance,travelTime,roadConditionWeight
L001,L017,0.25,2,1.1
L001,L023,0.11,1,1.1
L001,L024,0.11,1,1.2
L001,L027,0.25,2,1.1
L001,L049,0.11,1,1.1
L002,L004,0.11,1,1.1
L002,L005,0.16,1,1.2
L002,L041,0.11,1,1.2
L003,L037,0.56,4,1.1
L003,L039,0.44,3,1.0
L003,L046,0.50,3,1.0
L003,L048,0.47,3,1.3
L004,L017,0.16,1,1.1
L004,L018,0.11,1,1.1
L004,L041,0.22,1,1.2
L004,L046,0.22,1,1.0
L004,L050,0.16,1,1.1
L005,L018,0.22,1,1.3
L005,L034,0.40,3,1.0
L005,L038,0.40,3,1.2
L005,L041,0.11,1,1.3
L006,L015,0.25,2,1.1
L006,L027,0.22,1,1.1
L006,L042,0.22,1,1.1
L006,L049,0.16,1,1.2
L006,L052,0.11,1,1.3
L007,L016,0.16,1,1.3
L007,L033,0.25,2,1.1
L007,L040,0.16,1,1.2
L008,L014,0.25,2,1.2
L008,L015,0.11,1,1.2
L008,L028,0.16,1,1.2
L008,L036,0.11,1,1.0
L008,L043,0.25,2,1.2
L009,L029,0.22,1,1.2
L009,L030,0.22,1,1.0
L009,L051,0.11,1,1.1
L010,L016,0.40,3,1.1
L010,L033,0.31,2,1.0
L010,L040,0.40,3,1.2
L011,L012,0.11,1,1.1
L011,L025,0.67,4,1.1
L011,L026,0.55,4,1.1
L012,L025,0.56,4,1.2
L012,L026,0.44,3,1.1
L013,L032,0.47,3,1.0
L013,L035,0.57,4,1.1
L013,L044,0.40,3,1.1
L014,L015,0.31,2,1.3
L014,L036,0.16,1,1.1
L015,L036,0.16,1,1.1
L016,L033,0.11,1,1.3
L016,L040,0.00,1,1.1
L017,L018,0.25,2,1.2
L017,L050,0.22,1,1.3
L018,L039,0.25,2,1.0
L018,L046,0.11,1,1.2
L018,L050,0.11,1,1.1
L019,L020,0.50,3,1.2
L019,L021,0.22,1,1.1
L019,L022,0.50,3,1.2
L020,L021,0.63,4,1.0
L020,L022,0.99,7,1.2
L020,L038,0.25,2,1.3
L021,L022,0.44,3,1.0
L021,L038,0.60,4,1.0
L023,L024,0.00,1,1.0
L023,L025,0.22,1,1.2
L023,L049,0.16,1,1.3
L024,L025,0.22,1,1.0
L024,L049,0.16,1,1.0
L025,L026,0.16,1,1.1
L026,L042,0.16,1,1.2
L026,L052,0.25,2,1.3
L027,L049,0.16,1,1.1
L028,L029,0.22,1,1.2
L028,L043,0.11,1,1.2
L029,L043,0.11,1,1.2
L029,L051,0.25,2,1.3
L030,L031,0.11,1,1.2
L030,L035,0.25,2,1.2
L030,L051,0.25,2,1.3
L031,L035,0.22,1,1.3
L031,L045,0.56,4,1.1
L031,L047,0.33,2,1.1
L031,L051,0.22,1,1.3
L032,L035,0.50,3,1.1
L032,L044,0.11,1,1.2
L033,L034,0.31,2,1.0
L033,L040,0.11,1,1.2
L034,L041,0.31,2,1.3
L035,L044,0.40,3,1.2
L035,L045,0.56,4,1.2
L035,L047,0.40,3,1.0
L037,L039,0.46,3,1.2
L037,L048,0.11,1,1.1
L038,L041,0.50,3,1.2
L039,L046,0.22,1,1.1
L039,L048,0.35,2,1.0
L039,L050,0.16,1,1.1
L042,L052,0.11,1,1.2
L045,L047,0.25,2,1.2
L046,L050,0.16,1,1.0
L047,L051,0.40,3,1.2
