road_id,from_location_id,to_location_id,distance_km,travel_time_min,condition_weight
R001,L001,L017,0.25,2,1.1
R002,L001,L023,0.11,1,1.1
R003,L001,L024,0.11,1,1.2
R004,L001,L027,0.25,2,1.1
R005,L001,L049,0.11,1,1.1
R006,L002,L004,0.11,1,1.1
R007,L002,L005,0.16,1,1.2
R008,L002,L041,0.11,1,1.2
R009,L003,L037,0.56,4,1.1
R010,L003,L039,0.44,3,1.0
R011,L003,L046,0.5,3,1.0
R012,L003,L048,0.47,3,1.3
R013,L004,L017,0.16,1,1.1
R014,L004,L018,0.11,1,1.1
R015,L004,L041,0.22,1,1.2
R016,L004,L046,0.22,1,1.0
R017,L004,L050,0.16,1,1.1
R018,L005,L018,0.22,1,1.3
R019,L005,L034,0.4,3,1.0
R020,L005,L038,0.4,3,1.2
R021,L005,L041,0.11,1,1.3
R022,L006,L015,0.25,2,1.1
R023,L006,L027,0.22,1,1.1
R024,L006,L042,0.22,1,1.1
R025,L006,L049,0.16,1,1.2
R026,L006,L052,0.11,1,1.3
R027,L007,L016,0.16,1,1.3
R028,L007,L033,0.25,2,1.1
R029,L007,L040,0.16,1,1.2
R030,L008,L014,0.25,2,1.2
R031,L008,L015,0.11,1,1.2
R032,L008,L028,0.16,1,1.2
R033,L008,L036,0.11,1,1.0
R034,L008,L043,0.25,2,1.2
R035,L009,L029,0.22,1,1.2
R036,L009,L030,0.22,1,1.0
R037,L009,L051,0.11,1,1.1
R038,L010,L016,0.4,3,1.1
R039,L010,L033,0.31,2,1.0
R040,L010,L040,0.4,3,1.2
R041,L011,L012,0.11,1,1.1
R042,L011,L025,0.67,4,1.1
R043,L011,L026,0.55,4,1.1
R044,L012,L025,0.56,4,1.2
R045,L012,L026,0.44,3,1.1
R046,L013,L032,0.47,3,1.0
R047,L013,L035,0.57,4,1.1
R048,L013,L044,0.4,3,1.1
R049,L014,L015,0.31,2,1.3
R050,L014,L036,0.16,1,1.1
R051,L015,L036,0.16,1,1.1
R052,L016,L033,0.11,1,1.3
R053,L016,L040,0.0,1,1.1
R054,L017,L018,0.25,2,1.2
R055,L017,L050,0.22,1,1.3
R056,L018,L039,0.25,2,1.0
R057,L018,L046,0.11,1,1.2
R058,L018,L050,0.11,1,1.1
R059,L019,L020,0.5,3,1.2
R060,L019,L021,0.22,1,1.1
R061,L019,L022,0.5,3,1.2
R062,L020,L021,0.63,4,1.0
R063,L020,L022,0.99,7,1.2
R064,L020,L038,0.25,2,1.3
R065,L021,L022,0.44,3,1.0
R066,L021,L038,0.6,4,1.0
R067,L023,L024,0.0,1,1.0
R068,L023,L025,0.22,1,1.2
R069,L023,L049,0.16,1,1.3
R070,L024,L025,0.22,1,1.0
R071,L024,L049,0.16,1,1.0
R072,L025,L026,0.16,1,1.1
R073,L026,L042,0.16,1,1.2
R074,L026,L052,0.25,2,1.3
R075,L027,L049,0.16,1,1.1
R076,L028,L029,0.22,1,1.2
R077,L028,L043,0.11,1,1.2
R078,L029,L043,0.11,1,1.2
R079,L029,L051,0.25,2,1.3
R080,L030,L031,0.11,1,1.2
R081,L030,L035,0.25,2,1.2
R082,L030,L051,0.25,2,1.3
R083,L031,L035,0.22,1,1.3
R084,L031,L045,0.56,4,1.1
R085,L031,L047,0.33,2,1.1
R086,L031,L051,0.22,1,1.3
R087,L032,L035,0.5,3,1.1
R088,L032,L044,0.11,1,1.2
R089,L033,L034,0.31,2,1.0
R090,L033,L040,0.11,1,1.2
R091,L034,L041,0.31,2,1.3
R092,L035,L044,0.4,3,1.2
R093,L035,L045,0.56,4,1.2
R094,L035,L047,0.4,3,1.0
R095,L037,L039,0.46,3,1.2
R096,L037,L048,0.11,1,1.1
R097,L038,L041,0.5,3,1.2
R098,L039,L046,0.22,1,1.1
R099,L039,L048,0.35,2,1.0
R100,L039,L050,0.16,1,1.1
R101,L042,L052,0.11,1,1.2
R102,L045,L047,0.25,2,1.2
R103,L046,L050,0.16,1,1.0
R104,L047,L051,0.4,3,1.2
