locationId,name,area,type,latitude,longitude
L001,Accra Central Market,Central Accra,Transfer Station,5.5501,-0.1993
L002,Victoriaborg Waste Site,Victoriaborg,Collection Point,5.5479,-0.1821
L003,Kaneshie Market Depot,Kaneshie,Landfill Site,5.5731,-0.2337
L004,Osu Oxford Street Area,Osu,Collection Point,5.5511,-0.1702
L005,La Trade Fair Site,La,Transfer Station,5.5549,-0.1370
L006,Tesano Main Road,Tesano,Collection Point,5.5940,-0.1797
L007,Kotoka Airport Zone,Airport Residential,Depot,5.6022,-0.1717
L008,Legon Botanical Area,Legon,Collection Point,5.6452,-0.1815
L009,Madina Zongo Junction,Madina,Collection Point,5.6698,-0.1591
L010,Adenta East Housing,Adenta,Transfer Station,5.7092,-0.1443
L011,Tema Harbour Road,Tema,Landfill Site,5.6277,-0.0207
L012,Tema Community 1,Tema,Collection Point,5.6257,-0.0058
L013,Kpone Industrial Area,Kpone,Depot,5.6968,0.0618
L014,Haato Residential,Haato,Collection Point,5.6140,-0.2102
L015,Dzorwulu Junction,Dzorwulu,Collection Point,5.5958,-0.1986
L016,Airport Bypass Roundabout,Airport Residential,Transfer Station,5.5999,-0.1937
L017,Independence Avenue Loop,Central Accra,Collection Point,5.5520,-0.1930
L018,37 Military Hospital Road,37 Area,Collection Point,5.5818,-0.1920
L019,Kumasi Kejetia Bus Terminal,Kumasi Central,Transfer Station,6.6885,-1.6242
L020,Kumasi Central Market,Kumasi Central,Collection Point,6.6900,-1.6275
L021,Ashtown High Street,Ashtown,Collection Point,6.7071,-1.6351
L022,Suame Magazine Depot,Suame,Landfill Site,6.7350,-1.6590
L023,Accra Makola No. 2,Central Accra,Collection Point,5.5463,-0.2050
L024,Salaga Market Area,Central Accra,Collection Point,5.5432,-0.2072
L025,Tema Fishing Harbour,Tema,Transfer Station,5.6145,-0.0131
L026,Tema Community 6,Tema,Collection Point,5.6035,-0.0009
L027,Paloma Hotel Junction,Tesano,Collection Point,5.5875,-0.1801
L028,Lakeside Estate Road,East Legon,Collection Point,5.6346,-0.1487
L029,Ejisu Besease Road,Ejisu,Collection Point,6.7208,-1.5744
L030,Adum High Street,Kumasi,Collection Point,6.6830,-1.6326
L031,Bantama Station Road,Bantama,Transfer Station,6.6873,-1.6479
L032,Ahodwo Junction,Ahodwo,Depot,6.6881,-1.6798
L033,Kwabenya Main St,Kwabenya,Collection Point,5.6735,-0.1554
L034,Dome Pillar 2,Dome,Collection Point,5.6307,-0.2077
L035,Abrepo Junction,Abrepo,Collection Point,6.6916,-1.6814
L036,Achimota Terminal,Achimota,Transfer Station,5.6234,-0.2124
L037,Mallam Junction,Mallam,Depot,5.5761,-0.2785
L038,Weija Barrier,Weija,Collection Point,5.5617,-0.3442
L039,Kasoa New Market,Kasoa,Collection Point,5.5010,-0.3755
L040,East Legon Hills,East Legon,Collection Point,5.6324,-0.1332
L041,Awoshie Stadium Rd,Awoshie,Collection Point,5.5947,-0.2391
L042,Nkrumah Circle Interchange,Central Accra,Transfer Station,5.5638,-0.2090
L043,St. John's Grammar Road,Haato,Collection Point,5.6292,-0.2100
L044,Asokwa Depot,Asokwa,Landfill Site,6.7060,-1.5971
L045,Kumasi Airport Roundabout,Kumasi,Collection Point,6.7158,-1.6010
L046,Pokuase Interchange,Pokuase,Transfer Station,5.6560,-0.2548
L047,Ofankor Barrier,Ofankor,Collection Point,5.6368,-0.2609
L048,Old Kasoa Road,Mallam,Collection Point,5.5468,-0.3141
L049,Kwashieman Kojo,West Kaneshie,Collection Point,5.5616,-0.2247
L050,Abeka Lapaz Market,Abeka,Collection Point,5.5805,-0.2236
L051,Taifa Junction,Taifa,Collection Point,5.6854,-0.2248
L052,Nima Mamobi Highway,Nima,Collection Point,5.5905,-0.1909
