requestId,source,destination,category,urgency,timeSubmitted,deadline,status
SR101,L032,L014,general_waste,URGENT,2026-08-01T07:00:00Z,2026-08-01T09:00:00Z,PENDING
SR102,L039,L027,recycling,HIGH,2026-08-01T08:00:00Z,2026-08-01T14:00:00Z,ASSIGNED
SR103,L046,L040,drain_cleaning,MEDIUM,2026-08-01T09:00:00Z,2026-08-02T09:00:00Z,IN_PROGRESS
SR104,L001,L002,sanitation,LOW,2026-08-01T10:00:00Z,2026-08-03T10:00:00Z,COMPLETED
SR105,L008,L014,hazardous_waste,URGENT,2026-08-01T11:00:00Z,2026-08-01T13:00:00Z,PENDING
SR106,L015,L027,general_waste,HIGH,2026-08-01T12:00:00Z,2026-08-01T18:00:00Z,ASSIGNED
SR107,L022,L040,recycling,MEDIUM,2026-08-01T13:00:00Z,2026-08-02T13:00:00Z,IN_PROGRESS
SR108,L029,L001,drain_cleaning,LOW,2026-08-01T14:00:00Z,2026-08-03T14:00:00Z,COMPLETED
SR109,L036,L014,sanitation,URGENT,2026-08-02T15:00:00Z,2026-08-02T17:00:00Z,PENDING
SR110,L043,L027,hazardous_waste,HIGH,2026-08-02T16:00:00Z,2026-08-02T22:00:00Z,ASSIGNED
SR111,L050,L040,general_waste,MEDIUM,2026-08-02T07:00:00Z,2026-08-03T07:00:00Z,IN_PROGRESS
SR112,L005,L001,recycling,LOW,2026-08-02T08:00:00Z,2026-08-04T08:00:00Z,COMPLETED
SR113,L012,L014,drain_cleaning,URGENT,2026-08-02T09:00:00Z,2026-08-02T11:00:00Z,PENDING
SR114,L019,L027,sanitation,HIGH,2026-08-02T10:00:00Z,2026-08-02T16:00:00Z,ASSIGNED
SR115,L026,L040,hazardous_waste,MEDIUM,2026-08-02T11:00:00Z,2026-08-03T11:00:00Z,IN_PROGRESS
SR116,L033,L001,general_waste,LOW,2026-08-02T12:00:00Z,2026-08-04T12:00:00Z,COMPLETED
SR117,L040,L014,recycling,URGENT,2026-08-03T13:00:00Z,2026-08-03T15:00:00Z,PENDING
SR118,L047,L027,drain_cleaning,HIGH,2026-08-03T14:00:00Z,2026-08-03T20:00:00Z,ASSIGNED
SR119,L002,L040,sanitation,MEDIUM,2026-08-03T15:00:00Z,2026-08-04T15:00:00Z,IN_PROGRESS
SR120,L009,L001,hazardous_waste,LOW,2026-08-03T16:00:00Z,2026-08-05T16:00:00Z,COMPLETED
SR121,L016,L014,general_waste,URGENT,2026-08-03T07:00:00Z,2026-08-03T09:00:00Z,PENDING
SR122,L023,L027,recycling,HIGH,2026-08-03T08:00:00Z,2026-08-03T14:00:00Z,ASSIGNED
SR123,L030,L040,drain_cleaning,MEDIUM,2026-08-03T09:00:00Z,2026-08-04T09:00:00Z,IN_PROGRESS
SR124,L037,L001,sanitation,LOW,2026-08-03T10:00:00Z,2026-08-05T10:00:00Z,COMPLETED
SR125,L044,L014,hazardous_waste,URGENT,2026-08-04T11:00:00Z,2026-08-04T13:00:00Z,PENDING
SR126,L051,L027,general_waste,HIGH,2026-08-04T12:00:00Z,2026-08-04T18:00:00Z,ASSIGNED
SR127,L006,L040,recycling,MEDIUM,2026-08-04T13:00:00Z,2026-08-05T13:00:00Z,IN_PROGRESS
SR128,L013,L001,drain_cleaning,LOW,2026-08-04T14:00:00Z,2026-08-06T14:00:00Z,COMPLETED
SR129,L020,L014,sanitation,URGENT,2026-08-04T15:00:00Z,2026-08-04T17:00:00Z,PENDING
SR130,L027,L028,hazardous_waste,HIGH,2026-08-04T16:00:00Z,2026-08-04T22:00:00Z,ASSIGNED
SR131,L034,L040,general_waste,MEDIUM,2026-08-04T07:00:00Z,2026-08-05T07:00:00Z,IN_PROGRESS
SR132,L041,L001,recycling,LOW,2026-08-04T08:00:00Z,2026-08-06T08:00:00Z,COMPLETED
SR133,L048,L014,drain_cleaning,URGENT,2026-08-05T09:00:00Z,2026-08-05T11:00:00Z,PENDING
