step,from,to,weight,decision,componentCountAfter,mstEdgeCountAfter,reason
1,L016,L040,0.0000,ACCEPT,1,1,"different components -> merged"
2,L023,L024,0.0000,ACCEPT,2,2,"different components -> merged"
3,L008,L036,0.1100,ACCEPT,3,3,"different components -> merged"
4,L001,L023,0.1210,ACCEPT,3,4,"different components -> merged"
5,L001,L049,0.1210,ACCEPT,3,5,"different components -> merged"
6,L002,L004,0.1210,ACCEPT,4,6,"different components -> merged"
7,L004,L018,0.1210,ACCEPT,4,7,"different components -> merged"
8,L009,L051,0.1210,ACCEPT,5,8,"different components -> merged"
9,L011,L012,0.1210,ACCEPT,6,9,"different components -> merged"
10,L018,L050,0.1210,ACCEPT,6,10,"different components -> merged"
11,L037,L048,0.1210,ACCEPT,7,11,"different components -> merged"
12,L001,L024,0.1320,REJECT,7,11,"same component already (root L023) -> would close a cycle"
13,L002,L041,0.1320,ACCEPT,7,12,"different components -> merged"
14,L008,L015,0.1320,ACCEPT,7,13,"different components -> merged"
15,L018,L046,0.1320,ACCEPT,7,14,"different components -> merged"
16,L028,L043,0.1320,ACCEPT,8,15,"different components -> merged"
17,L029,L043,0.1320,ACCEPT,8,16,"different components -> merged"
18,L030,L031,0.1320,ACCEPT,9,17,"different components -> merged"
19,L032,L044,0.1320,ACCEPT,10,18,"different components -> merged"
20,L033,L040,0.1320,ACCEPT,10,19,"different components -> merged"
21,L042,L052,0.1320,ACCEPT,11,20,"different components -> merged"
22,L005,L041,0.1430,ACCEPT,11,21,"different components -> merged"
23,L006,L052,0.1430,ACCEPT,11,22,"different components -> merged"
24,L016,L033,0.1430,REJECT,11,22,"same component already (root L016) -> would close a cycle"
25,L024,L049,0.1600,REJECT,11,22,"same component already (root L023) -> would close a cycle"
26,L046,L050,0.1600,REJECT,11,22,"same component already (root L002) -> would close a cycle"
27,L004,L017,0.1760,ACCEPT,11,23,"different components -> merged"
28,L004,L050,0.1760,REJECT,11,23,"same component already (root L002) -> would close a cycle"
29,L014,L036,0.1760,ACCEPT,11,24,"different components -> merged"
30,L015,L036,0.1760,REJECT,11,24,"same component already (root L008) -> would close a cycle"
31,L025,L026,0.1760,ACCEPT,12,25,"different components -> merged"
32,L027,L049,0.1760,ACCEPT,12,26,"different components -> merged"
33,L039,L050,0.1760,ACCEPT,12,27,"different components -> merged"
34,L002,L005,0.1920,REJECT,12,27,"same component already (root L002) -> would close a cycle"
35,L006,L049,0.1920,ACCEPT,11,28,"different components -> merged"
36,L007,L040,0.1920,ACCEPT,11,29,"different components -> merged"
37,L008,L028,0.1920,ACCEPT,10,30,"different components -> merged"
38,L026,L042,0.1920,ACCEPT,9,31,"different components -> merged"
39,L007,L016,0.2080,REJECT,9,31,"same component already (root L016) -> would close a cycle"
40,L023,L049,0.2080,REJECT,9,31,"same component already (root L042) -> would close a cycle"
41,L004,L046,0.2200,REJECT,9,31,"same component already (root L002) -> would close a cycle"
42,L009,L030,0.2200,ACCEPT,8,32,"different components -> merged"
43,L024,L025,0.2200,REJECT,8,32,"same component already (root L042) -> would close a cycle"
44,L006,L027,0.2420,REJECT,8,32,"same component already (root L042) -> would close a cycle"
45,L006,L042,0.2420,REJECT,8,32,"same component already (root L042) -> would close a cycle"
46,L019,L021,0.2420,ACCEPT,9,33,"different components -> merged"
47,L039,L046,0.2420,REJECT,9,33,"same component already (root L002) -> would close a cycle"
48,L018,L039,0.2500,REJECT,9,33,"same component already (root L002) -> would close a cycle"
49,L004,L041,0.2640,REJECT,9,33,"same component already (root L002) -> would close a cycle"
50,L009,L029,0.2640,ACCEPT,8,34,"different components -> merged"
51,L023,L025,0.2640,REJECT,8,34,"same component already (root L042) -> would close a cycle"
52,L028,L029,0.2640,REJECT,8,34,"same component already (root L009) -> would close a cycle"
53,L001,L017,0.2750,ACCEPT,7,35,"different components -> merged"
54,L001,L027,0.2750,REJECT,7,35,"same component already (root L042) -> would close a cycle"
55,L006,L015,0.2750,ACCEPT,6,36,"different components -> merged"
56,L007,L033,0.2750,REJECT,6,36,"same component already (root L016) -> would close a cycle"
57,L005,L018,0.2860,REJECT,6,36,"same component already (root L009) -> would close a cycle"
58,L017,L050,0.2860,REJECT,6,36,"same component already (root L009) -> would close a cycle"
59,L031,L035,0.2860,ACCEPT,6,37,"different components -> merged"
60,L031,L051,0.2860,REJECT,6,37,"same component already (root L009) -> would close a cycle"
61,L008,L014,0.3000,REJECT,6,37,"same component already (root L009) -> would close a cycle"
62,L008,L043,0.3000,REJECT,6,37,"same component already (root L009) -> would close a cycle"
63,L017,L018,0.3000,REJECT,6,37,"same component already (root L009) -> would close a cycle"
64,L030,L035,0.3000,REJECT,6,37,"same component already (root L009) -> would close a cycle"
65,L045,L047,0.3000,ACCEPT,7,38,"different components -> merged"
66,L010,L033,0.3100,ACCEPT,7,39,"different components -> merged"
67,L033,L034,0.3100,ACCEPT,7,40,"different components -> merged"
68,L020,L038,0.3250,ACCEPT,8,41,"different components -> merged"
69,L026,L052,0.3250,REJECT,8,41,"same component already (root L009) -> would close a cycle"
70,L029,L051,0.3250,REJECT,8,41,"same component already (root L009) -> would close a cycle"
71,L030,L051,0.3250,REJECT,8,41,"same component already (root L009) -> would close a cycle"
72,L039,L048,0.3500,ACCEPT,7,42,"different components -> merged"
73,L031,L047,0.3630,ACCEPT,6,43,"different components -> merged"
74,L005,L034,0.4000,ACCEPT,5,44,"different components -> merged"
75,L035,L047,0.4000,REJECT,5,44,"same component already (root L009) -> would close a cycle"
76,L014,L015,0.4030,REJECT,5,44,"same component already (root L009) -> would close a cycle"
77,L034,L041,0.4030,REJECT,5,44,"same component already (root L009) -> would close a cycle"
78,L003,L039,0.4400,ACCEPT,5,45,"different components -> merged"
79,L021,L022,0.4400,ACCEPT,5,46,"different components -> merged"
80,L010,L016,0.4400,REJECT,5,46,"same component already (root L009) -> would close a cycle"
81,L013,L044,0.4400,ACCEPT,5,47,"different components -> merged"
82,L013,L032,0.4700,REJECT,5,47,"same component already (root L032) -> would close a cycle"
83,L005,L038,0.4800,ACCEPT,4,48,"different components -> merged"
84,L010,L040,0.4800,REJECT,4,48,"same component already (root L009) -> would close a cycle"
85,L035,L044,0.4800,ACCEPT,3,49,"different components -> merged"
86,L047,L051,0.4800,REJECT,3,49,"same component already (root L009) -> would close a cycle"
87,L012,L026,0.4840,ACCEPT,2,50,"different components -> merged"
88,L003,L046,0.5000,REJECT,2,50,"same component already (root L009) -> would close a cycle"
89,L032,L035,0.5500,REJECT,2,50,"same component already (root L009) -> would close a cycle"
90,L037,L039,0.5520,REJECT,2,50,"same component already (root L009) -> would close a cycle"
91,L019,L020,0.6000,ACCEPT,1,51,"different components -> merged"
92,L019,L022,0.6000,REJECT,1,51,"same component already (root L009) -> would close a cycle"
93,L021,L038,0.6000,REJECT,1,51,"same component already (root L009) -> would close a cycle"
94,L038,L041,0.6000,REJECT,1,51,"same component already (root L009) -> would close a cycle"
95,L011,L026,0.6050,REJECT,1,51,"same component already (root L009) -> would close a cycle"
96,L003,L048,0.6110,REJECT,1,51,"same component already (root L009) -> would close a cycle"
97,L003,L037,0.6160,REJECT,1,51,"same component already (root L009) -> would close a cycle"
98,L031,L045,0.6160,REJECT,1,51,"same component already (root L009) -> would close a cycle"
99,L013,L035,0.6270,REJECT,1,51,"same component already (root L009) -> would close a cycle"
100,L020,L021,0.6300,REJECT,1,51,"same component already (root L009) -> would close a cycle"
101,L012,L025,0.6720,REJECT,1,51,"same component already (root L009) -> would close a cycle"
102,L035,L045,0.6720,REJECT,1,51,"same component already (root L009) -> would close a cycle"
103,L011,L025,0.7370,REJECT,1,51,"same component already (root L009) -> would close a cycle"
104,L020,L022,1.1880,REJECT,1,51,"same component already (root L009) -> would close a cycle"
