runId,algorithmName,inputSize,timeNs,memoryKb,dateRun
1,SelectionSort-random,350,1227800,0,2026-08-12
2,InsertionSort-random,350,1025225,0,2026-08-12
3,SelectionSort-random,700,1492375,0,2026-08-12
4,InsertionSort-random,700,2465650,0,2026-08-12
5,SelectionSort-random,1400,2673250,0,2026-08-12
6,InsertionSort-random,1400,2215050,0,2026-08-12
7,SelectionSort-random,2800,9133275,0,2026-08-12
8,InsertionSort-random,2800,5035925,0,2026-08-12
9,SelectionSort-random,5600,37468200,0,2026-08-12
10,InsertionSort-random,5600,18451425,0,2026-08-12
11,SelectionSort-random,11200,125190800,0,2026-08-12
12,InsertionSort-random,11200,62945675,0,2026-08-12
13,SelectionSort-sorted,350,167375,0,2026-08-12
14,InsertionSort-sorted,350,2275,0,2026-08-12
15,SelectionSort-sorted,700,711475,0,2026-08-12
16,InsertionSort-sorted,700,4450,0,2026-08-12
17,SelectionSort-sorted,1400,2112125,0,2026-08-12
18,InsertionSort-sorted,1400,10375,0,2026-08-12
19,SelectionSort-sorted,2800,7422100,0,2026-08-12
20,InsertionSort-sorted,2800,16475,0,2026-08-12
21,SelectionSort-sorted,5600,32048250,0,2026-08-12
22,InsertionSort-sorted,5600,18850,0,2026-08-12
23,SelectionSort-sorted,11200,123493775,0,2026-08-12
24,InsertionSort-sorted,11200,39725,0,2026-08-12
25,SelectionSort-reversed,350,136250,0,2026-08-12
26,InsertionSort-reversed,350,179325,0,2026-08-12
27,SelectionSort-reversed,700,498125,0,2026-08-12
28,InsertionSort-reversed,700,463675,0,2026-08-12
29,SelectionSort-reversed,1400,2124725,0,2026-08-12
30,InsertionSort-reversed,1400,1875200,0,2026-08-12
31,SelectionSort-reversed,2800,8128875,0,2026-08-12
32,InsertionSort-reversed,2800,7498225,0,2026-08-12
33,SelectionSort-reversed,5600,34810000,0,2026-08-12
34,InsertionSort-reversed,5600,31355900,0,2026-08-12
35,SelectionSort-reversed,11200,170834025,0,2026-08-12
36,InsertionSort-reversed,11200,123897475,0,2026-08-12
37,SelectionSort-nearly_sorted,350,113650,0,2026-08-12
38,InsertionSort-nearly_sorted,350,6625,0,2026-08-12
39,SelectionSort-nearly_sorted,700,404775,0,2026-08-12
40,InsertionSort-nearly_sorted,700,32725,0,2026-08-12
41,SelectionSort-nearly_sorted,1400,1593925,0,2026-08-12
42,InsertionSort-nearly_sorted,1400,103050,0,2026-08-12
43,SelectionSort-nearly_sorted,2800,6480525,0,2026-08-12
44,InsertionSort-nearly_sorted,2800,353475,0,2026-08-12
45,SelectionSort-nearly_sorted,5600,24494675,0,2026-08-12
46,InsertionSort-nearly_sorted,5600,1309075,0,2026-08-12
47,SelectionSort-nearly_sorted,11200,97379725,0,2026-08-12
48,InsertionSort-nearly_sorted,11200,5159200,0,2026-08-12
