algorithmName,distribution,inputSize,repeat,timeNs,comparisons,moves
SelectionSort,random,350,1,1512500,61075,1026
SelectionSort,random,350,2,1372700,61075,1026
SelectionSort,random,350,3,911800,61075,1026
SelectionSort,random,350,4,1114200,61075,1026
InsertionSort,random,350,1,2210900,32304,32297
InsertionSort,random,350,2,1153000,32304,32297
InsertionSort,random,350,3,372900,32304,32297
InsertionSort,random,350,4,364100,32304,32297
SelectionSort,random,700,1,1373100,244650,2070
SelectionSort,random,700,2,1385300,244650,2070
SelectionSort,random,700,3,1625900,244650,2070
SelectionSort,random,700,4,1585200,244650,2070
InsertionSort,random,700,1,2422700,124191,124191
InsertionSort,random,700,2,2425400,124191,124191
InsertionSort,random,700,3,2388400,124191,124191
InsertionSort,random,700,4,2626100,124191,124191
SelectionSort,random,1400,1,2915200,979300,4170
SelectionSort,random,1400,2,2295600,979300,4170
SelectionSort,random,1400,3,2795300,979300,4170
SelectionSort,random,1400,4,2686900,979300,4170
InsertionSort,random,1400,1,2203400,491506,491502
InsertionSort,random,1400,2,3078600,491506,491502
InsertionSort,random,1400,3,1853000,491506,491502
InsertionSort,random,1400,4,1725200,491506,491502
SelectionSort,random,2800,1,8296800,3918600,8361
SelectionSort,random,2800,2,9558300,3918600,8361
SelectionSort,random,2800,3,10252800,3918600,8361
SelectionSort,random,2800,4,8425200,3918600,8361
InsertionSort,random,2800,1,6359400,1995931,1995928
InsertionSort,random,2800,2,5174200,1995931,1995928
InsertionSort,random,2800,3,4411500,1995931,1995928
InsertionSort,random,2800,4,4198600,1995931,1995928
SelectionSort,random,5600,1,35855800,15677200,16770
SelectionSort,random,5600,2,36265100,15677200,16770
SelectionSort,random,5600,3,36727100,15677200,16770
SelectionSort,random,5600,4,41024800,15677200,16770
InsertionSort,random,5600,1,19942800,7905226,7905237
InsertionSort,random,5600,2,18321200,7905226,7905237
InsertionSort,random,5600,3,17978000,7905226,7905237
InsertionSort,random,5600,4,17563700,7905226,7905237
SelectionSort,random,11200,1,127284300,62714400,33567
SelectionSort,random,11200,2,126445400,62714400,33567
SelectionSort,random,11200,3,122847700,62714400,33567
SelectionSort,random,11200,4,124185800,62714400,33567
InsertionSort,random,11200,1,63761300,31382613,31382616
InsertionSort,random,11200,2,64209000,31382613,31382616
InsertionSort,random,11200,3,61600300,31382613,31382616
InsertionSort,random,11200,4,62212100,31382613,31382616
SelectionSort,sorted,350,1,183800,61075,0
SelectionSort,sorted,350,2,171200,61075,0
SelectionSort,sorted,350,3,181300,61075,0
SelectionSort,sorted,350,4,133200,61075,0
InsertionSort,sorted,350,1,2200,349,0
InsertionSort,sorted,350,2,2400,349,0
InsertionSort,sorted,350,3,2200,349,0
InsertionSort,sorted,350,4,2300,349,0
SelectionSort,sorted,700,1,842100,244650,0
SelectionSort,sorted,700,2,662500,244650,0
SelectionSort,sorted,700,3,711100,244650,0
SelectionSort,sorted,700,4,630200,244650,0
InsertionSort,sorted,700,1,4200,699,0
InsertionSort,sorted,700,2,4600,699,0
InsertionSort,sorted,700,3,4800,699,0
InsertionSort,sorted,700,4,4200,699,0
SelectionSort,sorted,1400,1,2378600,979300,0
SelectionSort,sorted,1400,2,1984900,979300,0
SelectionSort,sorted,1400,3,2308800,979300,0
SelectionSort,sorted,1400,4,1776200,979300,0
InsertionSort,sorted,1400,1,5100,1399,0
InsertionSort,sorted,1400,2,26400,1399,0
InsertionSort,sorted,1400,3,5000,1399,0
InsertionSort,sorted,1400,4,5000,1399,0
SelectionSort,sorted,2800,1,7837300,3918600,0
SelectionSort,sorted,2800,2,7737500,3918600,0
SelectionSort,sorted,2800,3,7111300,3918600,0
SelectionSort,sorted,2800,4,7002300,3918600,0
InsertionSort,sorted,2800,1,16700,2799,0
InsertionSort,sorted,2800,2,16200,2799,0
InsertionSort,sorted,2800,3,16500,2799,0
InsertionSort,sorted,2800,4,16500,2799,0
SelectionSort,sorted,5600,1,34098000,15677200,0
SelectionSort,sorted,5600,2,32008800,15677200,0
