algorithmName,distribution,inputSize,repeats,avgTimeNs,avgTimeMs,comparisons,moves,memoryKb
SelectionSort,random,350,4,1227800,1.228,61075,1026,0
InsertionSort,random,350,4,1025225,1.025,32304,32297,0
SelectionSort,random,700,4,1492375,1.492,244650,2070,0
InsertionSort,random,700,4,2465650,2.466,124191,124191,0
SelectionSort,random,1400,4,2673250,2.673,979300,4170,0
InsertionSort,random,1400,4,2215050,2.215,491506,491502,0
SelectionSort,random,2800,4,9133275,9.133,3918600,8361,0
InsertionSort,random,2800,4,5035925,5.036,1995931,1995928,0
SelectionSort,random,5600,4,37468200,37.468,15677200,16770,0
InsertionSort,random,5600,4,18451425,18.451,7905226,7905237,0
SelectionSort,random,11200,4,125190800,125.191,62714400,33567,0
InsertionSort,random,11200,4,62945675,62.946,31382613,31382616,0
SelectionSort,sorted,350,4,167375,0.167,61075,0,0
InsertionSort,sorted,350,4,2275,0.002,349,0,0
SelectionSort,sorted,700,4,711475,0.711,244650,0,0
InsertionSort,sorted,700,4,4450,0.004,699,0,0
SelectionSort,sorted,1400,4,2112125,2.112,979300,0,0
InsertionSort,sorted,1400,4,10375,0.010,1399,0,0
SelectionSort,sorted,2800,4,7422100,7.422,3918600,0,0
InsertionSort,sorted,2800,4,16475,0.016,2799,0,0
SelectionSort,sorted,5600,4,32048250,32.048,15677200,0,0
InsertionSort,sorted,5600,4,18850,0.019,5599,0,0
SelectionSort,sorted,11200,4,123493775,123.494,62714400,0,0
InsertionSort,sorted,11200,4,39725,0.040,11199,0,0
SelectionSort,reversed,350,4,136250,0.136,61075,525,0
InsertionSort,reversed,350,4,179325,0.179,61075,61424,0
SelectionSort,reversed,700,4,498125,0.498,244650,1050,0
InsertionSort,reversed,700,4,463675,0.464,244650,245349,0
SelectionSort,reversed,1400,4,2124725,2.125,979300,2100,0
InsertionSort,reversed,1400,4,1875200,1.875,979300,980699,0
SelectionSort,reversed,2800,4,8128875,8.129,3918600,4200,0
InsertionSort,reversed,2800,4,7498225,7.498,3918600,3921399,0
SelectionSort,reversed,5600,4,34810000,34.810,15677200,8400,0
InsertionSort,reversed,5600,4,31355900,31.356,15677200,15682799,0
SelectionSort,reversed,11200,4,170834025,170.834,62714400,16800,0
InsertionSort,reversed,11200,4,123897475,123.897,62714400,62725599,0
SelectionSort,nearly_sorted,350,4,113650,0.114,61075,42,0
InsertionSort,nearly_sorted,350,4,6625,0.007,3451,3426,0
SelectionSort,nearly_sorted,700,4,404775,0.405,244650,84,0
InsertionSort,nearly_sorted,700,4,32725,0.033,14887,14848,0
SelectionSort,nearly_sorted,1400,4,1593925,1.594,979300,168,0
InsertionSort,nearly_sorted,1400,4,103050,0.103,53803,53795,0
SelectionSort,nearly_sorted,2800,4,6480525,6.481,3918600,336,0
InsertionSort,nearly_sorted,2800,4,353475,0.353,196291,196286,0
SelectionSort,nearly_sorted,5600,4,24494675,24.495,15677200,672,0
InsertionSort,nearly_sorted,5600,4,1309075,1.309,806827,806769,0
SelectionSort,nearly_sorted,11200,4,97379725,97.380,62714400,1344,0
InsertionSort,nearly_sorted,11200,4,5159200,5.159,3076239,3076164,0
