step,operation,result,front,rear,size,backingArray,fifoContents,note
0,initialise,queue created,0,4,0,[ --   --   --   --   -- ],(empty),"empty ring, rear parked one slot behind front"
1,enqueue(R1),accepted R1,0,0,1,[>R1<  --   --   --   -- ],R1,rear steps forward one slot
2,enqueue(R2),accepted R2,0,1,2,[>R1   R2<  --   --   -- ],R1 R2,rear steps forward one slot
3,enqueue(R3),accepted R3,0,2,3,[>R1   R2   R3<  --   -- ],R1 R2 R3,rear steps forward one slot
4,enqueue(R4),accepted R4,0,3,4,[>R1   R2   R3   R4<  -- ],R1 R2 R3 R4,rear steps forward one slot
5,enqueue(R5),accepted R5,0,4,5,[>R1   R2   R3   R4   R5<],R1 R2 R3 R4 R5,queue is now full
6,enqueue(R6),REJECTED R6 (overflow),0,4,5,[>R1   R2   R3   R4   R5<],R1 R2 R3 R4 R5,"rejected: no free slot, front and rear both hold still"
7,dequeue(),served R1,1,4,4,[ --  >R2   R3   R4   R5<],R2 R3 R4 R5,"front steps forward, slot 0 is now free"
8,dequeue(),served R2,2,4,3,[ --   --  >R3   R4   R5<],R3 R4 R5,"front steps forward, slot 1 is now free"
9,enqueue(R6),accepted R6,2,0,4,[ R6<  --  >R3   R4   R5 ],R3 R4 R5 R6,WRAP: rear moves from slot 4 to slot 0 and reuses it
10,enqueue(R7),accepted R7,2,1,5,[ R6   R7< >R3   R4   R5 ],R3 R4 R5 R6 R7,"rear continues into slot 1, queue is full again"
11,enqueue(R8),REJECTED R8 (overflow),2,1,5,[ R6   R7< >R3   R4   R5 ],R3 R4 R5 R6 R7,rejected: full again even though rear is behind front
12,dequeue(),served R3,3,1,4,[ R6   R7<  --  >R4   R5 ],R4 R5 R6 R7,front steps forward
13,dequeue(),served R4,4,1,3,[ R6   R7<  --   --  >R5 ],R5 R6 R7,front steps forward
14,dequeue(),served R5,0,1,2,[>R6   R7<  --   --   -- ],R6 R7,WRAP: front moves from slot 4 to slot 0
15,dequeue(),served R6,1,1,1,[ --  >R7<  --   --   -- ],R7,front steps forward
16,dequeue(),served R7,2,1,0,[ --   --   --   --   -- ],(empty),"last request served, queue is empty again"
17,dequeue(),REJECTED (underflow),2,1,0,[ --   --   --   --   -- ],(empty),"rejected: nothing to serve, indices hold still"
